fuel_type,gearbox,mileage [km],model,name,place,price [pln],seller_type,year,engine_capacity [cm3],horsepower [km],additional_specification,is_gearbox_automatic,region
Benzyna,Manualna,132376,Lynk &amp; Co,BMW Seria 3 318i,Gorzów Wielkopolski (Lubuskie),9500,Prywatny sprzedawca,2007,1995,129,Brak dodatkowych informacji,0,Lubuskie
Diesel,Manualna,175000,Lynk &amp; Co,Dacia Dokker 1.5 dCi Ambiance,Trzebinia (Małopolskie),20500,Prywatny sprzedawca,2017,1461,75,"Dacia Dokker 1.5. Stan bardzo dobry, Serwisowane w Aso.",0,Małopolskie
Benzyna,Automatyczna,130000,Lynk &amp; Co,Peugeot 2008,Malczyce (Dolnośląskie),49500,Prywatny sprzedawca,2019,1199,110,Peugeot 2008 GTline,1,Dolnośląskie
Benzyna,Automatyczna,225000,Lynk &amp; Co,Audi A7 55 TFSI Quattro S tronic,Krzepice (Śląskie),184500,Prywatny sprzedawca,2018,2995,340,A7 C8 55 tfsi RS7 Look,1,Śląskie
Diesel,Manualna,230000,Lynk &amp; Co,Seat Altea 1.6 TDI ITECH Ecomotive,Brusy (Pomorskie),18900,Prywatny sprzedawca,2010,1598,105,Seat Altea,0,Pomorskie
Benzyna,Manualna,119000,Lynk &amp; Co,Kia Optima 2.0 L,Przysucha (Mazowieckie),72000,Prywatny sprzedawca,2017,1999,163,Drugi wlasciciel stan idealny,0,Mazowieckie
Diesel,Manualna,166000,Lynk &amp; Co,Kia Ceed Cee'd 1.6 CRDi XL,Suszec (Śląskie),42900,Prywatny sprzedawca,2016,1582,110,## Adam ## bezwypadek #b ładny # doinwestowany # 166 tyś km # 2017 r,0,Śląskie
Diesel,Automatyczna,223000,Lynk &amp; Co,Peugeot 5008 e-HDI FAP 115 EGS6 Stop&Start Active,Stargard (Zachodniopomorskie),25900,Prywatny sprzedawca,2013,1560,115,Peugeot 5008,1,Zachodniopomorskie
Benzyna,Automatyczna,184834,Lynk &amp; Co,BMW X3 3.0i,Kraków (Małopolskie),34000,Prywatny sprzedawca,2006,2979,231,BMW X3 M pakiet bezwypadkowe,1,Małopolskie
Diesel,Manualna,180000,Lynk &amp; Co,Volkswagen Golf VI 2.0 TDI Trendline,Zambrów (Podlaskie),22900,Prywatny sprzedawca,2009,1968,110,2.0 TDI Salon PL,0,Podlaskie
Benzyna,Automatyczna,16,Lynk &amp; Co,Audi S3 TFSI Quattro S tronic,Gdańsk (Pomorskie),208999,Anonimowy sprzedawca,2024,1984,333,OD RĘKI!! / Kamera cofania / Elekt. fotel kierowcy / Aktywny tempomat,1,Pomorskie
Diesel,Manualna,360000,Lynk &amp; Co,Seat Altea XL,Komorniki (Dolnośląskie),10000,Prywatny sprzedawca,2006,1968,140,Seat altea XL 1.9 TDI CZARNY opony letnie i zimowe HAK klimatyzacja,0,Dolnośląskie
Benzyna,Automatyczna,189633,Lynk &amp; Co,Suzuki Vitara 1.4 Boosterjet Allgrip Automatik S,Piła (Wielkopolskie),57899,Anonimowy sprzedawca,2017,1373,140,GWARANCJA*Full Ledy*Automat*4x4*Navi*Kamera*Skóry*Keyless*Bezwypadkowa,1,Wielkopolskie
Diesel,Automatyczna,167800,Lynk &amp; Co,BMW X5 xDrive25d,Brochów (Mazowieckie),99000,Prywatny sprzedawca,2016,1995,231,Netto 99000,1,Mazowieckie
Benzyna,Automatyczna,143000,Lynk &amp; Co,Mercedes-Benz CLA 250 4-Matic AMG Line,Płock (Mazowieckie),83900,Prywatny sprzedawca,2017,1991,211,Mercedes-Benz CLA 250 4Matic AMG Line,1,Mazowieckie
Benzyna,Manualna,41000,Lynk &amp; Co,Chevrolet Corvette Coupe SB,Rzeszów (Podkarpackie),97000,Prywatny sprzedawca,1999,5666,344,Corvette C5 manual,0,Podkarpackie
Diesel,Automatyczna,130000,Lynk &amp; Co,Mercedes-Benz Klasa C,Garwolin (Mazowieckie),16900,Prywatny sprzedawca,2014,2143,204,Silnik 651 niski przebieg AMG line 4matic,1,Mazowieckie
Benzyna,Manualna,254000,Lynk &amp; Co,Opel Astra III GTC 2.0 T Cosmo,Głubczyce (Opolskie),16500,Prywatny sprzedawca,2005,1998,200,ASTRA H 2.0T 311KM/440NM IDS+,0,Opolskie
Benzyna,Automatyczna,15,Lynk &amp; Co,Cupra Formentor,Warszawa (Mazowieckie),209900,Prywatny sprzedawca,2024,1984,333,2.0 TSI 333KM - VAT 23% · OD RĘKI · Panorama · Hak · Matrix,1,Mazowieckie
Benzyna,Manualna,63015,Lynk &amp; Co,Hyundai i10 1.0 BlueDrive Go,Sochaczew (Mazowieckie),26900,Prywatny sprzedawca,2013,998,66,Salon Polska Bogate wyposażenie niski przebieg,0,Mazowieckie
Hybryda,Manualna,3,Lynk &amp; Co,Fiat Panda 1.0 Hybrid Cross,Legnica (Dolnośląskie),69990,Anonimowy sprzedawca,2024,999,70,Nowy Fiat Pandina SUPER CENA Dostępna od ręki !!!,0,Dolnośląskie
Benzyna,Automatyczna,61992,Lynk &amp; Co,Mazda 3,Łódź (Łódzkie),59999,Prywatny sprzedawca,2016,1998,120,Mazda 3*2.0 120KM*61900km*100% Oryginał*Gwarancja*Zarejestrowana,1,Łódzkie
Benzyna,Manualna,141000,Lynk &amp; Co,Toyota Corolla 1.6 Active,Warszawa (Mazowieckie),43000,Prywatny sprzedawca,2016,1598,132,Toyota Corolla 1.6 Active Sedan,0,Mazowieckie
Benzyna,Manualna,112474,Lynk &amp; Co,Opel Corsa 1.2 16V Cosmo,Szczecin (Zachodniopomorskie),19800,Prywatny sprzedawca,2014,1229,85,Opel Corsa D COSMO,0,Zachodniopomorskie
Benzyna,Manualna,116500,Lynk &amp; Co,Nissan Qashqai+2,Warszawa (Mazowieckie),44000,Prywatny sprzedawca,2013,1997,140,4X4 Kamera 360 Panorama,0,Mazowieckie
Benzyna+LPG,Manualna,210000,Lynk &amp; Co,Renault Thalia 1.2 16V All Inclusive,Kraków (Małopolskie),9500,Prywatny sprzedawca,2011,1149,75,"Pełna historia serwisowa, Salon POLSKA, LPG, All Inclusive",0,Małopolskie
Diesel,Manualna,640975,MAN,MAN TGE,Tułowice (Opolskie),307500,Prywatny sprzedawca,2008,1060,319,"Stan idealny, gotowy do pracy",0,Opolskie
Diesel,Manualna,475000,MAN,MAN TGE,Kraśnik (Lubelskie),107900,Prywatny sprzedawca,2018,1968,177,Bardzo dobrze utrzymany,0,Lubelskie
Diesel,Automatyczna,10,MAN,MAN TGE,Grodzisk Mazowiecki (Mazowieckie),239000,Anonimowy sprzedawca,2024,1968,180,"9 miejsc, 4x4, przewóz osób niepełnosprawnych",1,Mazowieckie
Diesel,Automatyczna,1602087,MAN,MAN Inny,Goleniów (Zachodniopomorskie),15867,Prywatny sprzedawca,2003,1281,480,Ciągnik siodłowy Man TGA,1,Zachodniopomorskie
Diesel,Automatyczna,29997,MAN,MAN TGE,Kielce (Świętokrzyskie),199700,Prywatny sprzedawca,2023,2000,177,2.0TDI 177KM DSG 8-os L2H1 29tyś km Automat SalonPL FV23% IDEALNY STAN,1,Świętokrzyskie
